 ---------- Build: Full build of workspace abis
 ---------- Building target abis
Inspecting application dependencies . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_applications) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_applookup) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_controllist) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_grouplookup) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_groupverify) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_userlookup) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_templateupdate) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_controllistdel) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_display_user_info) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_info_update) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_info_user_delete) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_windows) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_users) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_users_update) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_user_info) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_user_lookup_by_group) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_report_by_window) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_report_by_user) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_pb_ini_applications) . . .
Creating type c:\Dev\silverdome9\pfc_security.pbl(d_security_window_list) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_timerlist) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_userlookup) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_templateupdate) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_groupverify) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_grouplookup) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_controllist) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_applookup) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_pfcsecurity_allcontrollist) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_mruservice) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_messageprint) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_dirattrib) . . .
Creating type c:\Dev\silverdome9\PFCAPSRV.PBL(d_definedmessages) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_valuesdddw) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_svalue) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_sortmulti) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_filtersimple) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_dwfunctioncategory) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_dwfunction) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_columnsdddw) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_columnnames) . . .
Creating type c:\Dev\silverdome9\PFCDWSRV.PBL(d_sortdragdrop) . . .
Creating type c:\Dev\silverdome9\PFCMAIN.PBL(d_progress) . . .
Creating type c:\Dev\silverdome9\PFCMAIN.PBL(d_printtree) . . .
Creating type c:\Dev\silverdome9\PFCMAIN.PBL(d_calendar) . . .
Creating type c:\Dev\silverdome9\PFCMAIN.PBL(d_calculator) . . .
Creating type c:\Dev\silverdome9\pfcold.pbl(d_statusconfigure) . . .
Creating type c:\Dev\silverdome9\pfcold.pbl(d_dwdebuggerstatus) . . .
Creating type c:\Dev\silverdome9\pfcold.pbl(d_dwdebuggerattributes) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_sqlspyprint) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_dwproperty_srvresize) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_dwproperty_srvcal) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_dwproperty_services) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_dwproperty_multitable) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_dwproperty_linkageargs) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_dwproperty_dates) . . .
Creating type c:\Dev\silverdome9\pfcutil.pbl(d_debuglog) . . .
Creating type c:\Dev\silverdome9\PFCWNSRV.PBL(d_toolbars) . . .
Creating type c:\Dev\silverdome9\warehouse.pbl(d_wh_entry_skid_list_display) . . .
Creating type c:\Dev\silverdome9\warehouse.pbl(d_wh_entry_skid_list_input) . . .
Creating type c:\Dev\silverdome9\warehouse.pbl(d_wh_item) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_shift_info_display) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_shift_schedule_display) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_shift_schedule_new) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_spm_pershift) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_spm_pershift_dataonly) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_summary) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_summary_coil_info) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_shift_spm) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_total_wt_per_line) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_total_wt_per_line_per_shift) . . .
Creating type c:\Dev\silverdome9\daily_prod.pbl(d_daily_prod_update_coil_list) . . .
